CUIE;SIISA;NOMBRE EFECTOR;DEPENDENCIA ADMINISTRATIVA;CODIGO INDEC PROVINCIA;CODIGO INDEC DEPARTAMENTO;DEPARTAMENTO;CODIGO INDEC LOCALIDAD;LOCALIDAD;LATITUD;LONGITUD
W10162;5,01803E+13;SALA SAN PANTALEON;Municipal;18;28;CONCEPCION;30;TABAY;-28,317679;-58,268737
W20013;5,01803E+13;SAPS 16 DE JULIO;Municipal;18;28;CONCEPCION;30;TABAY;-28,293921;-58,286018
W20124;5,01809E+13;SALA CIC - SANTA LUCIA;Municipal;18;91;LAVALLE;40;SANTA LUCIA;-28,984628;-59,101009
W20136;-;MUNICIPALIDAD DE TABAY;Municipal;18;28;CONCEPCION;30;TABAY;0;0
W20009;5,01809E+13;SALA ESTANCIA;Municipal;18;91;LAVALLE;40;SANTA LUCIA;-28,985529;-59,101009
W20178;5,21811E+13;SALA RUBEN DARIO CASCO;Municipal;18;105;MERCEDES;10;FELIPE YOFRE;-;-
W20142;-;MUNICIPALIDAD DE SANTA LUCIA;Municipal;18;91;LAVALLE;40;SANTA LUCIA;0;0
W20177;-;MUNICIPALIDAD DE FELIPE YOFRE;Municipal;18;105;MERCEDES;10;FELIPE YOFRE;-;-
W20047;5,01806E+13;E.S. COLECTORA NORTE;Municipal;18;56;GENERAL ALVEAR;10;ALVEAR;-29,085757;-56,560145
W07001;-;E.S. RUBEN D. CASCO;Municipal;18;105;MERCEDES;20;MARIANO I. LOZA;0;0
W20151;-;MUNICIPALIDAD DE MARIANO I. LOZA;Municipal;18;105;MERCEDES;20;MARIANO I. LOZA;0;0
W20150;-;MUNICIPALIDAD DE ALVEAR;Municipal;18;56;GENERAL ALVEAR;10;ALVEAR;0;0
W20160;-;MUNICIPALIDAD DE COLONIA LIEBIG;Municipal;18;84;ITUZAINGO;10;COLONIA LIEBIG'S;0;0
W10109;5,01808E+13;SALA B° SAN JORGE;Municipal;18;84;ITUZAINGO;20;ITUZAINGO;-27,589088;-56,684303
W00012;5,01802E+13;CAPS XVII PIRAGINE NIVEYRO;Provincial;18;21;CAPITAL;20;CORRIENTES;-;-
W00013;5,01817E+13;CENTRO DE COORDINACIÓN DE SALUD;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,04334929;-56,00984573
W08322;5,01809E+13;E.S. PJE.NARANJITO;Provincial;18;91;LAVALLE;20;GOBERNADOR JUAN E. MARTINEZ;-28,90952;-58,935528
W10116;-;S. TACUARITA;Provincial;18;161;SAN ROQUE;10;CHAVARRIA;0;0
W20010;-;SALA VILLA CORDOBA;Municipal;18;91;LAVALLE;50;VILLA CORDOBA;0;0
W20052;-;E.S. PJE.ESTINGANA;Provincial;18;147;SAN MARTIN;30;LA CRUZ;0;0
W20038;-;S. RINCON DE VENCE;Municipal;18;63;GENERAL PAZ;30;NUESTRA SENORA DEL ROSARIO DE CAA CATI;0;0
W20054;-;E.S. TRES CERROS;Provincial;18;147;SAN MARTIN;30;LA CRUZ;0;0
W20020;5,0181E+13;SAPS LOMA ALTA;Provincial;18;98;MBURUCUYA;10;MBURUCUYA;-28,036834;-58,216552
W20017;5,0181E+13;SAPS PAGO ARIAS;Provincial;18;98;MBURUCUYA;10;MBURUCUYA;-28,0435;-58,222045
W20062;5,01803E+13;CAPS NUEVA HABANA;Municipal;18;28;CONCEPCION;20;SANTA ROSA;-28,265682;-58,117676
W20078;-;SALA LA UNION;Provincial;18;168;SANTO TOME;20;GARRUCHOS;0;0
W10075;5,01816E+13;S. LA ELISA;Provincial;18;161;SAN ROQUE;50;SAN ROQUE;-28,574682;-58,709125
W10127;5,01816E+13;S. LAUREL;Provincial;18;161;SAN ROQUE;50;SAN ROQUE;-28,574682;-58,709125
W20015;5,01803E+13;SAPS B LLAMARADA;Municipal;18;28;CONCEPCION;20;SANTA ROSA;-28,259634;-58,124542
W06970;5,01806E+13;S. PALMAR GRANDE;Provincial;18;63;GENERAL PAZ;40;PALMAR GRANDE;-27,947099;-57,899322
W10146;-;SALA SAN CAYETANO;Provincial;18;49;ESQUINA;10;ESQUINA;0;0
W09201;-;S. ANGEL PERROTTA;Provincial;18;63;GENERAL PAZ;10;ITA IBATE;0;0
W20029;-;SALA SANTA ANA;Provincial;18;133;SAN COSME;30;SAN COSME;0;0
W20114;5,01811E+13;SALA POMPEYA;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W20113;-;DONA MARTA ROMERO;Provincial;18;49;ESQUINA;10;ESQUINA;0;0
W20179;-;PROGRAMA PROVINCIAL DE  ATENCION INTEGRAL DE LA SALUD DEL ADOLESCENTE;Provincial;18;21;CAPITAL;20;CORRIENTES;-;-
W20100;-;SALA SAN JOSE;Municipal;18;91;LAVALLE;40;SANTA LUCIA;0;0
W20064;5,01801E+13;S. 1 SECCION LOMA SUR;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,52420926;-59,00894165
W10115;-;E.S. PJE. SAN ANTONIO;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;0;0
W20027;-;CENTRO DE ATENCION ECOVIDAL;Provincial;18;21;CAPITAL;20;CORRIENTES;0;0
W20043;-;S.PJE.BARRANCA;Provincial;18;175;SAUCE;10;SAUCE;0;0
W20103;-;SALA VIZCAINO;Provincial;18;84;ITUZAINGO;30;SAN ANTONIO;0;0
W20089;-;E.S. CRUCECITA;Municipal;18;91;LAVALLE;40;SANTA LUCIA;0;0
W20080;5,01809E+13;S. OSCAR MUNIAGURRIA(LAVALLE MUNICIPIO);Municipal;18;91;LAVALLE;30;LAVALLE;-29,126822;-59,239311
W10027;5,01816E+13;S. COLONIA 2 DE ABRIL;Municipal;18;161;SAN ROQUE;40;PEDRO R. FERNANDEZ;-28,56824;-58,708877
W20146;-;MUNICIPALIDAD DE PARADA PUCHETA;Municipal;18;119;PASO DE LOS LIBRES;20;PARADA PUCHETA;0;0
W20105;-;SALA MTE. GRANDE;Provincial;18;84;ITUZAINGO;30;SAN ANTONIO;0;0
W20166;-;PROGRAMA DE HIPOACUSIA;Provincial;18;21;CAPITAL;20;CORRIENTES;0;0
W20135;-;MUNICIPALIDAD DE SAN MIGUEL;Municipal;18;154;SAN MIGUEL;20;SAN MIGUEL;0;0
W20016;5,01803E+13;SAPS B UNION;Municipal;18;28;CONCEPCION;20;SANTA ROSA;-28,26538;-58,124542
W07006;5,01812E+13;E.S. PARADA PUCHETA;Municipal;18;119;PASO DE LOS LIBRES;20;PARADA PUCHETA;-29,903564;-57,575443
W07033;5,01811E+13;SALA SARGENTO HUGO GOMEZ (EX LABOUGLE);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W20162;-;SALA BERON DE ASTRADA;Municipal;18;84;ITUZAINGO;10;COLONIA LIEBIG'S;0;0
W20046;5,01816E+13;S.BUENA VISTA;Provincial;18;161;SAN ROQUE;30;9 DE JULIO;-28,838658;-58,831787
W08535;5,01807E+13;S.A.P.S. TRES BOCAS;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W20041;5,01811E+13;S. ANGELITA TAGLIAPIETRA;Municipal;18;112;MONTE CASEROS;40;MOCORETA;-30,61368;-57,96386
W20152;-;MUNICIPALIDAD DE P. R. FERNANDEZ (EST. MANUEL F. MANTILLA);Municipal;18;161;SAN ROQUE;40;PEDRO R. FERNANDEZ;0;0
W20063;5,01809E+13;E.S. CECILIO ECHEVERRIA;Municipal;18;91;LAVALLE;40;SANTA LUCIA;-29,1833333;-56,65
W20008;5,01809E+13;SALA ITATI;Municipal;18;91;LAVALLE;40;SANTA LUCIA;-28,985138;-59,101067
